,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,mtwara_cluster,datetime,day of year,month,ndvi,target,year,evi
0,0.1502,0.4287249999999999,0.3161,0.15165,0.1731749999999999,0.182075,0.2360499999999999,0.29405,0.3203249999999999,0.32645,0.35195,0.366275,0.0,4.0,Mtwara DC 01-11,2022-10-04 07:42:54,277.0,10.0,0.3181030850615608,1.0,2022.0,0.3936528902638256
1,0.14695,0.44135,0.34265,0.146175,0.18065,0.202,0.2619,0.352975,0.3830249999999999,0.3956999999999999,0.4151249999999999,0.402275,0.0,4.0,Mtwara DC 01-11,2022-10-04 07:42:54,277.0,10.0,0.345351427992708,1.0,2022.0,0.479094076655052
2,0.16535,0.49975,0.40075,0.17275,0.2028499999999999,0.2304999999999999,0.29505,0.389725,0.4266999999999999,0.4434,0.46345,0.450025,0.0,4.0,Mtwara DC 01-11,2022-10-09 07:42:45,282.0,10.0,0.33568700915051536,1.0,2022.0,0.5210476872148163
3,0.143675,0.384675,0.26925,0.1463749999999999,0.17745,0.16885,0.24305,0.3939,0.444925,0.4304,0.474975,0.452025,0.0,4.0,Mtwara DC 01-11,2022-12-28 07:42:46,362.0,12.0,0.475478585019221,1.0,2022.0,0.6264324302201849
4,0.1642,0.4219,0.350275,0.1701749999999999,0.190825,0.20165,0.25705,0.3146,0.3464,0.3734999999999999,0.3799999999999999,0.3619,0.0,4.0,Mtwara DC 01-11,2022-10-09 07:42:45,282.0,10.0,0.3066276970686838,1.0,2022.0,0.41379550358460343
5,0.14965,0.0,0.332075,0.15565,0.177325,0.19055,0.247825,0.2996,0.3319,0.35805,0.0,0.0,0.0,4.0,Mtwara DC 01-11,2022-10-19 07:42:46,292.0,10.0,-1.0,1.0,2022.0,-0.667028389400357
6,0.16275,0.432175,0.344875,0.159425,0.191325,0.202525,0.266125,0.33125,0.3665,0.3876,0.39535,0.379475,0.0,4.0,Mtwara DC 01-11,2022-11-03 07:42:51,307.0,11.0,0.3225172485887518,1.0,2022.0,0.44162610936158025
7,0.149125,0.403275,0.323925,0.14855,0.17825,0.19215,0.24345,0.3,0.328125,0.35285,0.36865,0.34875,0.0,4.0,Mtwara DC 01-11,2022-11-13 07:42:50,317.0,11.0,0.3147289586305278,1.0,2022.0,0.40840410023833223
8,0.14245,0.42215,0.337825,0.1517,0.18395,0.1958,0.256525,0.319775,0.358575,0.3893,0.382775,0.36585,0.0,4.0,Mtwara DC 01-11,2022-11-28 07:42:46,332.0,11.0,0.32316467182301345,1.0,2022.0,0.4292059775497555
9,0.16165,0.4116249999999999,0.32845,0.164075,0.18845,0.196325,0.2502,0.314525,0.351425,0.37305,0.3731,0.366225,0.0,4.0,Mtwara DC 01-11,2022-12-08 07:42:43,342.0,12.0,0.31044474689379636,1.0,2022.0,0.40972777526683585
