,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,Nanyamba_cluster,datetime,day of year,month,ndvi,target,year
887,0.15155,0.36165,0.2502,0.14845,0.162675,0.1669999999999999,0.209275,0.25945,0.28885,0.30495,0.33225,0.3479,0.0,4.0,Nanyamba TC 03-09,2022-09-04 07:43:02,247.0,9.0,0.2922979129145039,1.0,2022.0
888,0.15115,0.37605,0.262725,0.151675,0.165125,0.17305,0.21835,0.26615,0.293225,0.30995,0.33765,0.3455499999999999,0.0,4.0,Nanyamba TC 03-09,2022-09-04 07:43:02,247.0,9.0,0.2834368530020704,1.0,2022.0
889,0.150975,0.37665,0.260475,0.14765,0.1623,0.1693,0.2134249999999999,0.2684499999999999,0.298075,0.3117499999999999,0.3391,0.346075,0.0,4.0,Nanyamba TC 03-09,2022-09-04 07:43:02,247.0,9.0,0.2961230641305476,1.0,2022.0
890,0.16225,0.378725,0.264825,0.16,0.1709999999999999,0.1769,0.21795,0.2655499999999999,0.2884,0.3051,0.332625,0.33775,0.0,4.0,Nanyamba TC 03-09,2022-09-14 07:43:00,257.0,9.0,0.2659751037344398,1.0,2022.0
891,0.176025,0.394,0.287075,0.1745749999999999,0.183725,0.18585,0.22465,0.2724,0.300475,0.3183499999999999,0.3414,0.3467499999999999,0.0,4.0,Nanyamba TC 03-09,2022-09-29 07:42:50,272.0,9.0,0.2627925426418087,1.0,2022.0
892,0.1543,0.416825,0.306175,0.156875,0.1696,0.181125,0.2237249999999999,0.260625,0.2903,0.302525,0.33195,0.340825,0.0,4.0,Nanyamba TC 03-09,2022-11-08 07:42:49,312.0,11.0,0.2510079603018711,1.0,2022.0
893,0.166,0.4133,0.304075,0.1649,0.180425,0.184125,0.2335999999999999,0.276975,0.303875,0.312225,0.3428,0.340825,0.0,4.0,Nanyamba TC 03-09,2022-12-18 07:42:49,352.0,12.0,0.2580840132970685,1.0,2022.0
894,0.146675,0.35515,0.242675,0.14365,0.1599,0.16085,0.213125,0.281975,0.315675,0.3232,0.3547,0.345475,0.0,4.0,Nanyamba TC 03-09,2022-09-04 07:43:02,247.0,9.0,0.3353992356161553,1.0,2022.0
895,0.1729,0.378225,0.269325,0.17305,0.181775,0.18235,0.2290249999999999,0.28625,0.316525,0.33555,0.35865,0.345925,0.0,4.0,Nanyamba TC 03-09,2022-09-29 07:42:50,272.0,9.0,0.2958100019308747,1.0,2022.0
896,0.170475,0.385775,0.271,0.166925,0.180425,0.18455,0.2297,0.2780249999999999,0.3059,0.327725,0.349075,0.3381249999999999,0.0,4.0,Nanyamba TC 03-09,2022-10-14 07:42:54,287.0,10.0,0.2794885559513932,1.0,2022.0
897,0.1707,0.4097,0.290025,0.176,0.1871499999999999,0.19045,0.240375,0.291075,0.319925,0.342925,0.3691,0.355225,0.0,4.0,Nanyamba TC 03-09,2022-10-19 07:42:49,292.0,10.0,0.2858682915397234,1.0,2022.0
898,0.1742,0.420475,0.29955,0.1796999999999999,0.19025,0.196075,0.244,0.294875,0.331025,0.351875,0.379375,0.361275,0.0,4.0,Nanyamba TC 03-09,2022-10-29 07:42:49,302.0,10.0,0.2843325120905192,1.0,2022.0
899,0.1493499999999999,0.4029,0.29355,0.1603,0.1754,0.184075,0.226675,0.274225,0.3087249999999999,0.32765,0.355875,0.335075,0.0,4.0,Nanyamba TC 03-09,2022-11-08 07:42:49,312.0,11.0,0.2805706189848063,1.0,2022.0
900,0.1508499999999999,0.396,0.280725,0.15535,0.1716,0.1837,0.227425,0.268125,0.292675,0.315875,0.33765,0.325575,0.0,4.0,Nanyamba TC 03-09,2022-11-13 07:42:53,317.0,11.0,0.2645748886553571,1.0,2022.0
901,0.1532,0.386925,0.2787999999999999,0.1568,0.17395,0.1848,0.22565,0.26405,0.288,0.30725,0.334575,0.3211,0.0,4.0,Nanyamba TC 03-09,2022-12-03 07:42:50,337.0,12.0,0.2488568234935474,1.0,2022.0
